,Date,Load,System Generation
486,2016-07-26,172195.3867428,181764.841728
487,2016-07-27,171891.9038462,183101.2576536
488,2016-07-28,170286.843317,181072.8781971
489,2016-07-29,170452.3361696,180886.6429754
490,2016-07-30,157351.3506151,166794.9973311
491,2016-07-31,149824.5882037,163364.4861423
492,2016-08-01,154109.9200919,171844.7981125
493,2016-08-02,164276.7166213,177220.7914433
494,2016-08-03,163304.8687826,175171.7142372
495,2016-08-04,164967.4984215,177654.084141
496,2016-08-05,165731.3964479,179023.0876304
497,2016-08-06,157928.8515323,169775.8981072
498,2016-08-07,156128.4900649,163832.9333843
499,2016-08-08,163536.5812139,170814.117376
500,2016-08-09,163414.2691692,170157.6369152
501,2016-08-10,162904.8286146,176337.2812273
502,2016-08-11,164648.9804275,181047.1537772
503,2016-08-12,163932.5419068,181664.9273345
504,2016-08-13,157707.4335599,173126.3924107
505,2016-08-14,157380.2411335,171626.0897326
506,2016-08-15,165403.8040272,178016.4480696
507,2016-08-16,170021.364689,182142.4917871
508,2016-08-17,164517.4624989,176223.2658305
509,2016-08-18,162022.7345821,177175.63802389998
510,2016-08-19,160967.7644777,173685.4525488
511,2016-08-20,157105.9977997,172175.1197709
512,2016-08-21,157752.0492011,175737.5557592
513,2016-08-22,164317.6126716,173924.2841889
514,2016-08-23,161462.6285898,164986.4272354
515,2016-08-24,161856.32359390002,165219.0000307
516,2016-08-25,161916.6510216,165419.198721
517,2016-08-26,164342.8148563,167542.8339305
518,2016-08-27,157938.0479598,161402.8404751
519,2016-08-28,153911.1936003,157810.0750638
520,2016-08-29,166364.6908611,170534.1437528
521,2016-08-30,169391.7675535,173627.1482554
522,2016-08-31,169702.2647093,174560.7153999
523,2016-09-01,166035.729842,171894.0607164
524,2016-09-02,161664.0672839,166765.031841
525,2016-09-03,152166.1132959,158294.6697378
526,2016-09-04,150222.3856265,160920.3153177
527,2016-09-05,152042.4516776,164405.1334883
528,2016-09-06,161480.5838911,173684.6753041
529,2016-09-07,163076.7529689,173501.3670014
530,2016-09-08,158161.0721476,168284.8126482
531,2016-09-09,158084.736066,169931.3904166
532,2016-09-10,150889.8304945,163325.1773146
533,2016-09-11,149183.8098975,161812.952815
534,2016-09-12,159336.1001542,165559.477464
535,2016-09-13,160963.753002,166387.2810767
536,2016-09-14,163894.1344114,168750.59123309999
537,2016-09-15,163896.9154061,168835.052434
538,2016-09-16,163695.3062624,173362.1053485
539,2016-09-17,156359.5455886,167865.2856649
540,2016-09-18,153566.7728728,168907.50273849998
541,2016-09-19,161824.8258937,171489.3738705
542,2016-09-20,160866.2862156,170849.2622096
543,2016-09-21,158909.3793756,170683.6880317
544,2016-09-22,160979.3156984,171020.4711099
545,2016-09-23,161739.0523635,170542.4244852
546,2016-09-24,156152.8824731,166589.7641377
547,2016-09-25,153231.0453218,164835.4745554
548,2016-09-26,163754.2065848,176276.1097571
549,2016-09-27,162071.7364333,172597.7954354
550,2016-09-28,162792.5148539,173851.1225815
551,2016-09-29,162692.9103041,171357.4372379
552,2016-09-30,161610.2414105,171313.67430379998
553,2016-10-01,155892.2336208,165496.3885255
554,2016-10-02,154471.6159317,165729.8694665
555,2016-10-03,163032.8728141,171212.5181501
556,2016-10-04,164837.4246667,172521.0946286
557,2016-10-05,164583.2396492,174376.09732
558,2016-10-06,166894.987022,173514.2697277
559,2016-10-07,168501.7709883,172202.414139
560,2016-10-08,164302.6380947,166696.6471112
561,2016-10-09,163258.8683358,165796.1326512
562,2016-10-10,165580.5692265,166926.8070861
563,2016-10-11,167111.3815966,166162.2892213
564,2016-10-12,166842.9393295,172344.4105988
565,2016-10-13,167341.3760866,172963.4175618
566,2016-10-14,168107.4352141,164793.6226747
567,2016-10-15,163161.5466794,160380.3824091
568,2016-10-16,161294.6517453,161531.0420696
569,2016-10-17,168401.2468071,164857.6172032
570,2016-10-18,168449.6587507,167860.9007101
571,2016-10-19,165451.3983571,167621.4503415
572,2016-10-20,165903.3391808,169549.0265535
573,2016-10-21,166916.8261358,168807.8688422
574,2016-10-22,163104.4026591,161409.4930035
575,2016-10-23,163653.5712098,161947.70527500001
576,2016-10-24,174038.2619467,170904.9363116
577,2016-10-25,174240.9957777,174830.4501753
578,2016-10-26,171772.4714729,170536.165877
579,2016-10-27,172981.1072397,174459.126238
580,2016-10-28,172503.6374368,169369.8480978
581,2016-10-29,166752.7863847,161717.819131
582,2016-10-30,164068.7187146,166081.9507337
583,2016-10-31,170346.7387634,170407.8529285
584,2016-11-01,175429.2052396,175092.6278744
585,2016-11-02,173462.1612043,176244.9895544
586,2016-11-03,171217.5721378,174564.5813399
587,2016-11-04,168240.7985809,171451.0396617
588,2016-11-05,162038.6682734,164398.7357498
589,2016-11-06,160957.67154440001,163961.5373424
590,2016-11-07,172113.2620269,175116.3348058
591,2016-11-08,171822.5670852,175136.2406426
592,2016-11-09,169831.7444523,172340.0878836
593,2016-11-10,171432.3885493,173693.2570193
594,2016-11-11,162271.376893,165268.4789426
595,2016-11-12,162775.0300238,163393.5941064
596,2016-11-13,161588.1369274,161873.9419073
597,2016-11-14,168221.8084476,170093.1565384
598,2016-11-15,172690.9903172,175224.2569628
599,2016-11-16,174438.2909423,175870.5182831
600,2016-11-17,177794.2557848,182915.4319426
601,2016-11-18,177747.4298762,184192.17180050001
602,2016-11-19,173791.2528817,181057.2972387
603,2016-11-20,172190.528639,179109.9159343
604,2016-11-21,177781.3349747,182344.992997
605,2016-11-22,182152.8365836,186114.3517442
606,2016-11-23,181182.7463536,184594.0771939
607,2016-11-24,181451.9887062,183472.9077666
608,2016-11-25,179030.2522915,181634.1065176
609,2016-11-26,174505.7593052,181027.5521579
610,2016-11-27,174391.0916775,179559.2400054
611,2016-11-28,185308.2574999,187312.1539918
612,2016-11-29,185631.3099697,188622.7672663
613,2016-11-30,185518.3032073,189312.2813123
614,2016-12-01,184749.1206819,189176.3997842
615,2016-12-02,183716.5485545,189927.8566254
616,2016-12-03,175327.8478976,179324.6965893
